url	league_name
110741	ITALIAN SERIE B
100805	SCOTTISH PREMIERSHIP
1447	DANISH SUPERLIGA
2017	AUSTRIAN FOOTBALL BUNDESLIGA
112983	CHINESE SUPER LEAGUE
100651	HOLLAND EREDIVISIE
753	REP. IRELAND AIRTRICITY LEAGUE
113259	TURKISH SÜPER LIG
101037	TURKISH SÜPER LIG
705	SWEDISH ALLSVENSKAN
113173	SWEDISH ALLSVENSKAN
112537	CHINESE SUPER LEAGUE
112510	POLISH T-MOBILE EKSTRAKLASA
112655	CHILIAN CAMPEONATO NACIONAL
112531	CHILIAN CAMPEONATO NACIONAL
113182	ROMANIAN LIGA I
113458	SWEDISH ALLSVENSKAN
114326	POLISH T-MOBILE EKSTRAKLASA
110401	TURKISH SÜPER LIG
111674	SAUDI ABDUL L. JAMEEL LEAGUE
112408	SAUDI ABDUL L. JAMEEL LEAGUE
112001	CAMPEONATO BRASILEIRO SÉRIE A
111082	POLISH T-MOBILE EKSTRAKLASA
110394	ARGENTINA PRIMERA DIVISIÓN
1598	CAMPEONATO BRASILEIRO SÉRIE A
1848	ITALIAN SERIE B
112510	POLISH T-MOBILE EKSTRAKLASA
666	PORTUGUESE LIGA ZON SAGRES
10019	PORTUGUESE LIGA ZON SAGRES
112409	ITALIAN SERIE B
111059	CAMPEONATO BRASILEIRO SÉRIE A
1813	FRENCH LIGUE 2
111711	ARGENTINA PRIMERA DIVISIÓN
1893	PORTUGUESE LIGA ZON SAGRES
422	REP. IRELAND AIRTRICITY LEAGUE
1867	SPANISH SEGUNDA DIVISIÓN
111721	COLOMBIAN LIGA POSTOBÓN
2056	KOREAN K LEAGUE CLASSIC
1572	REP. IRELAND AIRTRICITY LEAGUE
162	GERMAN 3. BUNDESLIGA
1715	SWISS SUPER LEAGUE
1463	NORWEGIAN ELITESERIEN
111131	REP. IRELAND AIRTRICITY LEAGUE
112115	KOREAN K LEAGUE CLASSIC
111706	ARGENTINA PRIMERA DIVISIÓN
111042	CAMPEONATO BRASILEIRO SÉRIE A
111779	CHINESE SUPER LEAGUE
698	USA MAJOR LEAGUE SOCCER
1475	KOREAN K LEAGUE CLASSIC
1439	SWEDISH ALLSVENSKAN
111035	MEXICAN LIGA MX
112420	NORWEGIAN ELITESERIEN
435	SWISS SUPER LEAGUE
15019	SPANISH SEGUNDA DIVISIÓN
